policy_id,make,model,year,mileage,engine_size,fuel_type,transmission,safety_features,vehicle_value,driver_age,license_years,credit_score,province,urban,accidents,claims,traffic_violations,risk_score,risk_tier,approval_status,annual_premium,claim_probability,claim_amount
POL000012,Isuzu,KB,2019,54453,1.2,Diesel,Manual,4,7155.166922,73,50,355,Bulawayo,TRUE,0,0,5,10,Low,Approved,304.71,0.0667,0
POL000013,Mazda,CX-5,2019,286168,2.1,Diesel,Automatic,3,7348.079488,73,55,753,Matabeleland South,FALSE,0,0,5,11.58504,Low,Approved,323.27,0.0772,0
POL000014,Nissan,X-Trail,2020,218078,2.2,Diesel,Manual,1,8989.040456,18,0,571,Matabeleland North,FALSE,4,1,5,10.81734,Low,Approved,454.47,0.0721,0
POL000015,Volkswagen,Tiguan,2021,104561,1.7,Petrol,Automatic,6,8879.409149,21,0,788,Matabeleland South,FALSE,1,0,4,10,Low,Approved,325.35,0.0667,0
POL000016,Hyundai,Tucson,2018,216694,1.3,Diesel,Automatic,5,5011.723429,60,38,835,Mashonaland West,FALSE,4,0,5,10.55082,Low,Approved,221.97,0.0703,0
POL000017,Honda,CR-V,2011,170767,3.3,Petrol,Automatic,4,1272.695553,54,36,375,Matabeleland South,FALSE,1,1,2,11.34801,Low,Approved,47.17,0.0757,0
POL000018,Nissan,X-Trail,2014,154415,1.4,Hybrid,Automatic,6,2502.472466,37,14,406,Manicaland,FALSE,2,0,0,10,Low,Approved,104.95,0.0667,0
POL000019,Ford,EcoSport,2015,111743,2.7,Hybrid,Manual,3,3463.684547,72,54,394,Masvingo,FALSE,2,0,0,10,Low,Approved,133.94,0.0667,0
POL000020,Ford,EcoSport,2011,294239,2.8,Petrol,Automatic,1,1467.030563,62,43,336,Mashonaland West,FALSE,1,1,1,15.35217,Low,Approved,64.9,0.1023,0
POL000021,Toyota,Rav4,2019,135825,2.7,Hybrid,Manual,5,10527.55522,33,14,481,Masvingo,FALSE,0,0,5,10,Low,Approved,456.85,0.0667,0
POL000022,Mercedes,E-Class,2017,88465,3,Petrol,Manual,1,6113.473707,32,13,771,Mashonaland West,FALSE,2,0,1,10,Low,Approved,290.22,0.0667,0
POL000023,Ford,Ranger,2017,189101,2.6,Diesel,Manual,1,4186.965821,34,15,571,Harare,TRUE,0,0,3,10,Low,Approved,178.54,0.0667,0
POL000024,Mercedes,C-Class,2013,104656,1.6,Diesel,Automatic,5,1455.345099,52,29,501,Mashonaland West,FALSE,4,0,5,10,Low,Approved,68.59,0.0667,0
POL000025,Nissan,Sunny,2009,167154,2.7,Hybrid,Manual,6,1077.393122,26,7,730,Masvingo,FALSE,1,1,4,12.13962,Low,Approved,41.38,0.0809,0
POL000026,Toyota,Rav4,2016,115196,2.1,Hybrid,Manual,4,4894.242694,31,9,784,Manicaland,FALSE,0,0,4,10,Low,Approved,202.19,0.0667,0
POL000027,Nissan,X-Trail,2016,122776,3,Diesel,Automatic,1,4397.003211,48,26,374,Matabeleland North,FALSE,3,2,4,10,Low,Approved,211.09,0.0667,0
POL000028,Mercedes,E-Class,2021,7907,3.2,Petrol,Manual,2,8205.141194,62,40,775,Harare,TRUE,1,0,3,10,Low,Approved,334.55,0.0667,0
POL000029,Mitsubishi,Outlander,2006,171355,3.4,Diesel,Manual,5,1167.548167,28,5,786,Matabeleland North,FALSE,3,0,5,14.36565,Low,Approved,56.56,0.0958,0
POL000030,Kia,Sportage,2017,235619,1.2,Hybrid,Automatic,3,4758.516815,75,53,382,Manicaland,FALSE,1,0,3,10.89357,Low,Approved,197.72,0.0726,0
POL000031,Nissan,Patrol,2012,178477,2.4,Diesel,Automatic,2,1399.734702,42,20,320,Midlands,FALSE,3,1,0,11.57931,Low,Approved,60.95,0.0772,0
POL000032,Mercedes,A-Class,2008,291330,3,Diesel,Manual,2,1063.761187,49,31,698,Mashonaland West,FALSE,4,2,1,17.1399,Low,Approved,53.04,0.1143,0
POL000033,Mitsubishi,Pajero,2013,19209,1.2,Diesel,Automatic,4,1009.037416,34,13,635,Mashonaland Central,FALSE,3,1,2,10,Low,Approved,42.47,0.0667,0
POL000034,Mercedes,GLE,2023,251576,1,Petrol,Manual,2,13004.07148,67,44,341,Harare,TRUE,1,0,0,10,Low,Approved,586.06,0.0667,0
POL000035,Isuzu,MU-X,2022,119276,2.2,Hybrid,Manual,2,11523.44481,65,42,417,Manicaland,FALSE,2,0,4,10,Low,Approved,417.21,0.0667,0
POL000036,Kia,Sorento,2013,108981,1.2,Diesel,Automatic,6,1363.488531,72,49,423,Midlands,FALSE,0,0,4,10,Low,Approved,53.76,0.0667,0
POL000037,Mitsubishi,Outlander,2015,11633,3.1,Diesel,Automatic,4,3543.534097,58,37,456,Masvingo,FALSE,1,1,4,10,Low,Approved,154.94,0.0667,0
POL000038,Mitsubishi,L200,2011,233366,3.1,Hybrid,Manual,2,1398.438611,23,3,761,Mashonaland Central,FALSE,3,2,4,14.42598,Low,Approved,57.82,0.0962,0
POL000039,Isuzu,KB,2020,260616,1.5,Hybrid,Manual,3,10282.98231,62,42,310,Matabeleland South,FALSE,1,0,1,10,Low,Approved,429.42,0.0667,0
POL000040,Mazda,3,2005,262331,2.1,Petrol,Automatic,3,1032.95784,62,43,613,Midlands,FALSE,2,1,4,17.46993,Low,Approved,41.57,0.1165,0
POL000041,Volkswagen,Amarok,2015,189450,2.8,Hybrid,Manual,3,2491.974779,64,45,623,Bulawayo,TRUE,1,0,1,10.1835,Low,Approved,114.88,0.0679,0
POL000042,Hyundai,Santa Fe,2006,153372,3.5,Diesel,Manual,2,1116.528641,37,19,846,Manicaland,FALSE,2,0,0,13.30116,Low,Approved,45.14,0.0887,0
POL000043,Honda,Accord,2022,11430,2.4,Diesel,Manual,4,10072.34286,21,1,789,Bulawayo,TRUE,0,0,3,10,Low,Approved,405.43,0.0667,0
POL000044,Toyota,Corolla,2021,164297,1.2,Diesel,Automatic,5,13858.39389,56,34,531,Matabeleland South,FALSE,3,1,3,10,Low,Approved,531.87,0.0667,0
POL000045,Mercedes,GLE,2007,36578,2.5,Petrol,Automatic,6,1026.615117,60,42,460,Mashonaland Central,FALSE,1,1,0,10,Low,Approved,38.24,0.0667,0
POL000046,Volkswagen,Amarok,2010,157703,1.1,Hybrid,Manual,6,1415.764039,22,0,539,Mashonaland East,FALSE,1,1,0,11.03109,Low,Approved,57.14,0.0735,0
POL000047,Ford,EcoSport,2023,36267,1.4,Hybrid,Manual,4,9824.090925,62,42,712,Mashonaland East,FALSE,3,1,0,10,Low,Approved,400.67,0.0667,0
POL000048,Volkswagen,Tiguan,2006,136264,1.1,Diesel,Automatic,6,1392.852747,54,36,479,Matabeleland North,FALSE,5,1,1,13.01292,Low,Approved,63.25,0.0868,0
POL000049,Nissan,Patrol,2014,219092,1.8,Petrol,Automatic,3,2064.576697,49,29,710,Matabeleland South,FALSE,0,0,0,11.07276,Low,Approved,79.52,0.0738,0
POL000050,Mercedes,C-Class,2008,247208,2,Diesel,Manual,5,1353.865892,58,37,352,Mashonaland Central,FALSE,2,2,1,14.91624,Low,Approved,58.79,0.0994,0
POL000051,Volkswagen,Tiguan,2022,20135,3.4,Diesel,Automatic,3,11222.19105,53,32,395,Mashonaland Central,FALSE,0,0,0,10,Low,Approved,462.15,0.0667,0
POL000052,Volkswagen,Tiguan,2009,148353,2,Diesel,Manual,2,1174.071884,27,6,495,Midlands,FALSE,1,0,2,11.87559,Low,Approved,49.52,0.0792,0
POL000053,BMW,5 Series,2025,153289,2.8,Diesel,Automatic,4,14677.78016,40,20,686,Matabeleland North,FALSE,2,0,5,10,Low,Approved,684.87,0.0667,0
POL000054,Mercedes,C-Class,2015,252975,2.8,Diesel,Manual,6,3301.046871,59,40,807,Harare,TRUE,1,1,4,12.08925,Low,Approved,140.37,0.0806,0
POL000055,Isuzu,D-Max,2009,244561,1,Diesel,Manual,6,1481.974076,22,1,571,Mashonaland West,FALSE,4,2,0,14.76183,Low,Approved,72.97,0.0984,0
POL000056,Mercedes,GLE,2005,260825,3.2,Petrol,Automatic,2,1278.69661,36,17,392,Masvingo,FALSE,0,0,5,17.27475,Low,Approved,54.96,0.1152,0
POL000057,Volkswagen,Tiguan,2025,29112,1.8,Petrol,Manual,3,13498.85585,27,8,843,Masvingo,FALSE,1,0,1,10,Low,Approved,494.49,0.0667,0
POL000058,Hyundai,Santa Fe,2018,265920,3.3,Diesel,Automatic,4,6772.881871,47,27,309,Matabeleland North,FALSE,2,2,4,11.5776,Low,Approved,285,0.0772,0
POL000059,Hyundai,Accent,2005,227460,2.7,Diesel,Manual,2,1499.624139,72,51,409,Mashonaland Central,FALSE,3,2,2,16.4988,Low,Approved,60.88,0.11,0
POL000060,Ford,Ranger,2013,148906,1,Petrol,Manual,3,1365.444588,32,10,660,Mashonaland Central,FALSE,1,1,2,10,Low,Approved,56.56,0.0667,0
POL000061,Kia,Picanto,2021,55941,3.3,Petrol,Manual,4,7507.352745,41,18,434,Bulawayo,TRUE,2,1,5,10,Low,Approved,324.74,0.0667,0
POL000062,Mitsubishi,L200,2009,268084,3.3,Diesel,Manual,4,1480.430446,36,13,646,Bulawayo,TRUE,3,0,1,15.54252,Low,Approved,68.45,0.1036,0
POL000063,Kia,Picanto,2013,297192,1.9,Diesel,Automatic,3,1221.943385,47,27,568,Midlands,FALSE,3,2,2,14.84076,Low,Approved,45.05,0.0989,0
POL000064,Toyota,Hiace,2008,176969,3.3,Diesel,Automatic,6,1394.313211,62,42,718,Bulawayo,TRUE,1,0,0,12.35907,Low,Approved,58.95,0.0824,0
POL000065,Nissan,X-Trail,2008,76127,2,Hybrid,Manual,5,1345.361409,27,6,401,Matabeleland North,FALSE,5,1,0,10.30881,Low,Approved,60.28,0.0687,0
POL000066,Mazda,BT-50,2022,197589,2.4,Hybrid,Automatic,4,9717.623244,25,4,393,Mashonaland Central,FALSE,0,0,2,10,Low,Approved,368.77,0.0667,0
POL000067,Hyundai,Tucson,2023,295564,1.5,Diesel,Automatic,3,13755.38116,68,46,302,Mashonaland East,FALSE,1,0,4,10.14192,Low,Approved,522.78,0.0676,0
POL000068,Kia,Sportage,2021,12791,1.9,Diesel,Manual,1,8197.109402,21,2,731,Matabeleland South,FALSE,0,0,0,10,Low,Approved,326.33,0.0667,0
POL000069,Mitsubishi,Outlander,2022,241981,2.3,Petrol,Manual,4,11728.36022,19,1,790,Masvingo,FALSE,3,2,0,10,Low,Approved,468.22,0.0667,0
POL000070,Nissan,Navara,2015,82769,1.2,Hybrid,Manual,4,4490.329961,51,31,764,Matabeleland South,FALSE,3,0,5,10,Low,Approved,165.76,0.0667,0
POL000071,Mitsubishi,Outlander,2019,230480,2.1,Diesel,Manual,3,8713.857578,43,22,397,Mashonaland West,FALSE,4,1,5,10.8144,Low,Approved,390.76,0.0721,0
POL000072,Isuzu,D-Max,2023,49755,1.2,Petrol,Manual,2,12436.93021,55,33,637,Bulawayo,TRUE,3,1,5,10,Low,Approved,595.5,0.0667,0
POL000073,Volkswagen,Polo,2016,168813,1.9,Diesel,Automatic,6,3996.093823,72,54,658,Matabeleland South,FALSE,2,0,2,10,Low,Approved,162.21,0.0667,0
POL000074,Mitsubishi,Outlander,2006,296891,1.1,Hybrid,Automatic,2,1063.962233,66,46,647,Mashonaland West,FALSE,2,0,1,17.75673,Low,Approved,50.48,0.1184,658
POL000075,Toyota,Hilux,2009,117791,1.9,Diesel,Manual,2,1122.031855,64,44,386,Harare,TRUE,1,0,4,11.33373,Low,Approved,44.92,0.0756,0
POL000076,Isuzu,MU-X,2012,259626,2.5,Diesel,Manual,2,1352.965886,25,5,740,Bulawayo,TRUE,2,2,5,14.61378,Low,Approved,60.64,0.0974,0
POL000077,Ford,Ranger,2018,212231,3.5,Petrol,Automatic,2,5706.896539,31,12,561,Mashonaland East,FALSE,2,0,0,10,Low,Approved,228.16,0.0667,0
POL000078,Honda,Accord,2008,125644,2.3,Hybrid,Automatic,4,1417.058617,20,0,319,Matabeleland North,FALSE,1,0,4,12.01932,Low,Approved,66.14,0.0801,0
POL000079,Mercedes,GLE,2022,217353,1.1,Hybrid,Automatic,5,10725.65025,62,42,390,Masvingo,FALSE,0,0,3,10,Low,Approved,436.65,0.0667,0
POL000080,Mercedes,GLE,2015,121167,1.8,Diesel,Automatic,5,3071.84352,51,29,498,Mashonaland West,FALSE,2,2,5,10,Low,Approved,133.85,0.0667,0
POL000081,Mazda,CX-5,2006,85147,2.9,Petrol,Automatic,6,1196.470215,66,44,759,Midlands,FALSE,2,2,2,10.95441,Low,Approved,44.52,0.073,490
POL000082,Ford,Focus,2007,34450,1.9,Petrol,Manual,4,1171.148318,21,1,593,Bulawayo,TRUE,0,0,4,10,Low,Approved,51.6,0.0667,0
POL000083,Mitsubishi,Outlander,2024,240789,3.3,Diesel,Manual,5,13086.56668,27,9,761,Bulawayo,TRUE,2,2,0,10,Low,Approved,576.33,0.0667,0
POL000084,Mazda,3,2011,279762,2.3,Diesel,Manual,3,1450.762073,42,21,646,Midlands,FALSE,0,0,5,14.99286,Low,Approved,56.11,0.1,0
POL000085,Mitsubishi,Outlander,2013,153974,1.6,Diesel,Manual,1,1249.643709,27,7,617,Masvingo,FALSE,1,1,5,10.84422,Low,Approved,54.36,0.0723,0
POL000086,Mercedes,GLE,2021,280981,1.2,Diesel,Manual,1,9119.278187,29,10,649,Matabeleland North,FALSE,1,0,1,10.45443,Low,Approved,384.01,0.0697,0
POL000087,Nissan,Urvan,2008,281054,1.1,Hybrid,Automatic,5,1126.031922,28,9,469,Matabeleland North,FALSE,2,0,2,16.08162,Low,Approved,54.07,0.1072,0
POL000088,Hyundai,Accent,2011,127684,2.3,Hybrid,Manual,2,1120.704575,54,33,772,Mashonaland East,FALSE,3,2,4,11.10552,Low,Approved,44.1,0.074,0
POL000089,Mazda,CX-5,2017,32357,2.6,Hybrid,Automatic,6,6080.552781,72,54,591,Bulawayo,TRUE,1,1,3,10,Low,Approved,289.23,0.0667,0
POL000090,Mercedes,C-Class,2018,241520,3.2,Petrol,Manual,1,6007.966163,41,22,695,Bulawayo,TRUE,2,0,0,10.7706,Low,Approved,254.76,0.0718,0
POL000091,Volkswagen,Amarok,2015,81571,1.3,Hybrid,Manual,6,3356.7991,66,43,780,Matabeleland North,FALSE,1,0,0,10,Low,Approved,145.63,0.0667,0
POL000092,Volkswagen,Amarok,2009,226907,1.3,Hybrid,Automatic,3,973.1090071,33,12,768,Bulawayo,TRUE,0,0,4,14.23221,Low,Approved,43.13,0.0949,0
POL000093,Hyundai,Tucson,2021,157710,2.1,Hybrid,Automatic,5,9383.514946,60,37,387,Matabeleland South,FALSE,2,0,4,10,Low,Approved,378.65,0.0667,0
POL000094,Mitsubishi,Outlander,2025,209710,3.2,Petrol,Manual,3,12626.28188,19,0,369,Mashonaland West,FALSE,3,1,5,10,Low,Approved,534.77,0.0667,0
POL000095,BMW,3 Series,2024,189706,2.4,Diesel,Manual,6,13105.79048,29,10,364,Matabeleland North,FALSE,0,0,1,10,Low,Approved,637.97,0.0667,0
POL000096,BMW,5 Series,2009,213784,3.5,Diesel,Manual,1,1351.974551,30,10,665,Harare,TRUE,2,1,0,13.98852,Low,Approved,63.05,0.0933,0
POL000097,Mercedes,A-Class,2013,182752,3.4,Diesel,Manual,3,1454.58628,51,31,384,Masvingo,FALSE,0,0,4,11.03256,Low,Approved,63.94,0.0736,0
POL000098,Ford,Focus,2022,46979,1.8,Hybrid,Manual,4,11505.54555,45,26,754,Mashonaland West,FALSE,4,0,5,10,Low,Approved,541.41,0.0667,0
POL000099,Kia,Sportage,2023,217971,1.9,Diesel,Automatic,2,14204.75199,61,40,335,Manicaland,FALSE,0,0,5,10,Low,Approved,553,0.0667,0
POL000100,Hyundai,Tucson,2006,85445,2.7,Hybrid,Manual,4,1357.850683,54,35,842,Mashonaland West,FALSE,4,1,5,12.16335,Low,Approved,59.33,0.0811,0
POL000101,Volkswagen,Polo,2010,276447,2,Petrol,Manual,3,1322.422687,31,9,592,Matabeleland North,FALSE,1,0,1,14.96841,Low,Approved,60.25,0.0998,0
POL000102,Isuzu,D-Max,2015,187150,2.8,Hybrid,Manual,2,3185.00511,62,39,478,Mashonaland West,FALSE,1,0,1,10.1895,Low,Approved,138.8,0.0679,0
POL000103,BMW,5 Series,2011,294221,1.3,Petrol,Automatic,3,1138.895988,63,40,790,Matabeleland South,FALSE,3,1,4,15.95163,Low,Approved,41.67,0.1063,0
POL000104,Kia,Sportage,2011,249230,2.7,Hybrid,Automatic,5,1283.876358,29,10,743,Matabeleland South,FALSE,0,0,4,13.6269,Low,Approved,47.79,0.0908,0
POL000105,BMW,3 Series,2014,277051,3.2,Petrol,Manual,2,1844.689327,53,33,428,Mashonaland East,FALSE,0,0,5,13.71153,Low,Approved,68.9,0.0914,0
POL000106,Honda,Civic,2006,182009,3.1,Petrol,Automatic,1,927.277082,59,37,571,Mashonaland Central,FALSE,3,2,5,15.28527,Low,Approved,33.61,0.1019,0
POL000107,Mitsubishi,L200,2005,163384,2.2,Diesel,Manual,4,943.7838153,21,2,750,Masvingo,FALSE,3,1,1,14.42652,Low,Approved,36.54,0.0962,0
POL000108,Volkswagen,Tiguan,2014,214042,1.3,Hybrid,Automatic,3,1504.861512,25,5,760,Mashonaland Central,FALSE,1,0,0,11.14626,Low,Approved,57.67,0.0743,0
POL000109,Hyundai,Accent,2018,88728,3,Hybrid,Automatic,2,6330.505237,50,29,810,Mashonaland East,FALSE,3,0,0,10,Low,Approved,275.77,0.0667,0
POL000110,Mazda,CX-5,2007,190018,1.1,Hybrid,Manual,5,1429.403686,59,36,781,Mashonaland East,FALSE,0,0,3,13.50054,Low,Approved,52.99,0.09,0
POL000111,BMW,X3,2014,28720,2,Diesel,Manual,5,1545.351866,42,20,761,Matabeleland South,FALSE,2,2,5,10,Low,Approved,63.19,0.0667,0
POL000112,Nissan,Patrol,2014,182778,2.4,Hybrid,Automatic,2,2270.659987,43,21,341,Harare,TRUE,0,0,5,10.95834,Low,Approved,96.57,0.0731,0
POL000113,Isuzu,D-Max,2006,275273,1.3,Hybrid,Automatic,4,1494.369443,65,45,644,Matabeleland South,FALSE,3,2,4,17.48319,Low,Approved,57.38,0.1166,0
POL000114,BMW,5 Series,2022,223387,2.5,Petrol,Manual,3,13499.81085,68,46,533,Harare,TRUE,3,0,4,10,Low,Approved,609.32,0.0667,0
POL000115,Mercedes,E-Class,2018,21552,2.4,Petrol,Automatic,1,6149.210178,44,25,722,Mashonaland Central,FALSE,3,2,4,10,Low,Approved,266.66,0.0667,0
POL000116,Volkswagen,Amarok,2024,77394,2.3,Hybrid,Manual,5,12432.08732,29,8,845,Mashonaland West,FALSE,4,2,5,10,Low,Approved,588.27,0.0667,0
POL000117,Hyundai,Accent,2019,134247,1.7,Hybrid,Automatic,3,8503.276463,63,44,800,Mashonaland West,FALSE,5,1,4,10,Low,Approved,373.43,0.0667,0
POL000118,Kia,Picanto,2013,211848,3,Diesel,Manual,1,1072.578205,63,45,654,Matabeleland North,FALSE,2,2,3,12.50544,Low,Approved,46.4,0.0834,0
POL000119,Mitsubishi,Outlander,2017,76970,1.3,Diesel,Automatic,1,5624.209637,51,32,538,Harare,TRUE,0,0,2,10,Low,Approved,258.22,0.0667,0
POL000120,Honda,Fit,2008,87806,2,Diesel,Manual,6,1019.673585,36,16,592,Harare,TRUE,0,0,4,10.05918,Low,Approved,42.46,0.0671,0
POL000121,Toyota,Corolla,2012,97163,3.3,Petrol,Manual,4,1011.786979,65,45,338,Harare,TRUE,2,2,4,10,Low,Approved,41.02,0.0667,0
POL000122,Ford,Fiesta,2005,289845,2.3,Diesel,Manual,3,1015.686839,25,5,466,Matabeleland North,FALSE,2,2,1,17.84535,Low,Approved,48.93,0.119,0
POL000123,Hyundai,Santa Fe,2019,97009,2.5,Diesel,Manual,5,6843.75741,43,20,397,Manicaland,FALSE,1,1,2,10,Low,Approved,297.61,0.0667,2522
POL000124,Isuzu,KB,2015,163306,2.5,Petrol,Manual,6,2677.75501,33,15,421,Matabeleland North,FALSE,4,0,3,10,Low,Approved,123.24,0.0667,0
POL000125,Volkswagen,Tiguan,2022,159684,1.9,Diesel,Automatic,2,10824.61136,47,24,682,Masvingo,FALSE,3,2,5,10,Low,Approved,461.18,0.0667,0
POL000126,Kia,Picanto,2023,280516,2.1,Hybrid,Automatic,5,9750.638771,71,49,817,Mashonaland Central,FALSE,1,0,2,10,Low,Approved,417.68,0.0667,0
POL000127,Kia,Sportage,2007,261286,1.2,Diesel,Automatic,4,979.1666039,44,23,359,Matabeleland South,FALSE,3,2,2,16.31358,Low,Approved,40.92,0.1088,0
POL000128,Toyota,Corolla,2007,43288,1.1,Hybrid,Automatic,5,1496.474196,75,57,783,Harare,TRUE,2,1,1,10,Low,Approved,69.39,0.0667,0
POL000129,Volkswagen,Amarok,2012,201325,3.5,Diesel,Manual,4,1125.38732,61,38,436,Mashonaland West,FALSE,1,0,4,12.11475,Low,Approved,52.07,0.0808,0
POL000130,Mazda,Demio,2025,161428,2.2,Diesel,Manual,2,12582.08668,40,21,582,Mashonaland Central,FALSE,0,0,5,10,Low,Approved,495.15,0.0667,0
POL000131,Toyota,Corolla,2019,40279,1.3,Petrol,Manual,5,10165.07062,73,55,550,Harare,TRUE,3,1,1,10,Low,Approved,450.82,0.0667,0
POL000132,Toyota,Corolla,2009,156657,1.6,Hybrid,Manual,2,1081.058661,27,4,833,Mashonaland Central,FALSE,3,1,2,12.57471,Low,Approved,39.45,0.0838,0
POL000133,Volkswagen,Polo,2005,228976,2.4,Petrol,Manual,6,1302.805515,68,46,626,Masvingo,FALSE,3,0,2,15.94428,Low,Approved,50.82,0.1063,0
POL000134,Isuzu,D-Max,2018,162672,3.1,Diesel,Manual,1,6533.638688,44,22,842,Manicaland,FALSE,3,0,2,10,Low,Approved,245.84,0.0667,0
POL000135,Isuzu,KB,2023,285827,2.8,Diesel,Automatic,3,11353.11191,56,34,340,Bulawayo,TRUE,1,1,5,10.07481,Low,Approved,516.67,0.0672,0
POL000136,Mazda,BT-50,2016,13039,1.5,Diesel,Automatic,6,5039.137166,48,29,509,Masvingo,FALSE,1,1,2,10,Low,Approved,212.67,0.0667,0
POL000137,Mitsubishi,Outlander,2014,166702,1.7,Diesel,Manual,1,1989.633561,64,43,627,Mashonaland Central,FALSE,2,1,3,10.70106,Low,Approved,72.35,0.0713,0
POL000138,Volkswagen,Polo,2025,141720,2.4,Diesel,Manual,2,12212.58084,32,11,551,Matabeleland North,FALSE,4,1,3,10,Low,Approved,577.7,0.0667,0
POL000139,Honda,CR-V,2020,78378,2.8,Diesel,Automatic,5,10758.1977,21,0,334,Bulawayo,TRUE,0,0,3,10,Low,Approved,439.04,0.0667,0
POL000140,Nissan,X-Trail,2025,119672,2.3,Hybrid,Automatic,5,19239.55733,57,36,799,Harare,TRUE,0,0,4,10,Low,Approved,831.53,0.0667,11650
POL000141,Mitsubishi,L200,2025,268305,3,Diesel,Automatic,1,17409.95168,51,32,546,Mashonaland Central,FALSE,2,1,2,10,Low,Approved,737.48,0.0667,0
POL000142,Mercedes,A-Class,2007,132510,3.5,Diesel,Manual,6,1396.837247,23,0,332,Bulawayo,TRUE,3,1,3,12.5253,Low,Approved,62.11,0.0835,149
POL000143,Honda,Fit,2010,232493,2.6,Hybrid,Automatic,5,1451.491329,32,13,786,Mashonaland East,FALSE,0,0,5,13.72479,Low,Approved,63,0.0915,0
POL000144,Hyundai,Santa Fe,2024,99033,3.3,Hybrid,Automatic,2,13824.52715,66,43,707,Bulawayo,TRUE,2,0,4,10,Low,Approved,576.71,0.0667,0
POL000145,Mercedes,GLE,2013,78374,3,Petrol,Manual,1,958.6114724,32,14,648,Midlands,FALSE,3,1,0,10,Low,Approved,39.37,0.0667,0
POL000146,Isuzu,KB,2018,191547,2.4,Diesel,Manual,2,6905.27331,60,39,387,Midlands,FALSE,2,0,5,10,Low,Approved,252.65,0.0667,0
POL000147,Mercedes,E-Class,2013,171030,1.9,Petrol,Automatic,3,1166.841519,66,46,404,Manicaland,FALSE,0,0,3,10.5309,Low,Approved,46.2,0.0702,0
POL000148,Mercedes,C-Class,2025,51986,1.9,Petrol,Manual,4,10888.85243,44,23,386,Matabeleland South,FALSE,1,1,4,10,Low,Approved,406.77,0.0667,0
POL000149,Honda,CR-V,2016,145722,2.2,Petrol,Automatic,4,3580.339133,37,16,378,Mashonaland West,FALSE,4,0,5,10,Low,Approved,164.56,0.0667,0
POL000150,Isuzu,D-Max,2021,164728,1,Diesel,Manual,5,9203.941225,73,53,750,Mashonaland West,FALSE,3,2,4,10,Low,Approved,406.48,0.0667,0
POL000151,Volkswagen,Polo,2010,169722,1.4,Diesel,Manual,3,1340.924619,58,37,548,Mashonaland West,FALSE,4,1,3,12.74166,Low,Approved,56.92,0.0849,0
POL000152,Hyundai,Santa Fe,2020,293410,1.1,Diesel,Automatic,4,9926.001451,71,48,370,Masvingo,FALSE,3,0,5,11.8773,Low,Approved,381.38,0.0792,0
POL000153,Honda,Accord,2013,43779,2.1,Diesel,Manual,5,1203.967586,73,50,728,Matabeleland South,FALSE,0,0,5,10,Low,Approved,51.97,0.0667,0
POL000154,Kia,Sportage,2022,135144,2.6,Hybrid,Automatic,6,11560.57348,54,31,709,Mashonaland West,FALSE,3,0,0,10,Low,Approved,506.13,0.0667,0
POL000155,Mitsubishi,Outlander,2007,120884,2.1,Diesel,Manual,6,1253.153974,50,31,653,Harare,TRUE,3,0,2,11.87652,Low,Approved,54.21,0.0792,0
